Nome: RECIFE (CURADO)
Codigo Estacao: 82900
Latitude: -8.05916666
Longitude: -34.95916666
Altitude: 11.3
Situacao: Fechada
Data Inicial: 1970-01-01
Data Final: 2020-08-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;14;150.8;null;null;258.1;6;18;102.2;null;1010.3;29.9;26.7;23.1;76.7;7;2.8;40;
1970-02-28;14;146.2;null;null;241.8;5.9;null;113.3;null;1009.8;29.9;26.6;23;76.1;9;3.6;40;
1970-03-31;14;93.7;null;null;214.4;6.7;23;269.4;null;1009.6;29.3;26;23.1;83.4;8;2.4;39.5;
1970-04-30;14;77.2;null;null;191.2;7;21;591.3;null;1010.3;28.6;25.3;22.4;86;7;2.8;38.1;
1970-05-31;14;82.4;null;null;214.6;6.4;21;186.7;null;1011.3;28.4;24.6;21.6;85.1;7;3.1;40;
1970-06-30;14;76.1;null;null;207.2;6.9;24;367.8;null;1012.7;27.8;24.4;21.6;86.1;8;2.9;39.8;
1970-07-31;14;79.7;null;null;180.2;6.8;26;503.6;null;1013.9;26.8;23.4;20.8;84.7;9;3.9;38.8;
1970-08-31;14;90.7;null;null;182.4;6.7;26;626;null;1013.2;26.9;23.5;20.8;84;9;4;38.4;
1970-09-30;14;122.3;null;null;270.4;6;22;77.2;null;1012.2;28.1;24.7;21.4;79.1;9;3.9;39.3;
1970-10-31;14;145.7;null;null;297.1;4.7;11;11.9;null;1010.2;29.5;25.4;20.8;75.7;8;3;39.2;
1970-11-30;9;156.1;null;null;283.5;5.7;11;29;null;1009.1;30.1;26.1;21.4;73.6;7;3.2;40;
1970-12-31;14;182.4;null;null;305.7;5.6;9;33.6;null;1009.3;30.6;26.7;22.3;72.5;9;3.9;39.4;
1971-01-31;null;null;null;null;null;null;18;61.5;null;null;30.2;26.7;22.3;74.1;null;null;null;
1971-02-28;null;null;null;null;null;null;10;40.9;null;null;30.8;26.8;22.3;74.5;null;null;null;
1971-03-31;null;null;null;null;null;null;19;173.1;null;null;30.5;27;23.1;78.4;null;null;null;
1971-04-30;null;null;null;null;null;null;18;190.2;null;null;30.2;26.2;22.7;85.1;null;null;null;
1971-05-31;null;null;null;null;null;null;29;493.3;null;null;28.3;24.9;22.1;87.9;null;null;null;
1971-06-30;null;null;null;null;null;null;26;277.5;null;null;28.1;24.8;21.9;86.4;null;null;null;
1971-07-31;null;null;null;null;null;null;26;415.2;null;null;27.1;23.9;21.3;85;null;null;null;
1971-08-31;null;null;null;null;null;null;22;154.9;null;null;27.2;23.8;20.5;80.7;null;null;null;
1971-09-30;null;null;null;null;null;null;22;170.1;null;null;28.1;24.7;21.4;78.8;null;null;null;
1971-10-31;null;null;null;null;null;null;22;145.9;null;null;28.6;25.2;22.1;78.1;null;null;null;
1971-11-30;null;null;null;null;null;null;7;24.3;null;null;29.2;25.5;21.6;77.3;null;null;null;
1971-12-31;null;null;null;null;null;null;8;11.4;null;null;30.1;26.1;21.4;73.5;null;null;null;
1972-01-31;null;null;null;null;null;null;3;32.7;null;null;31.1;24;19.6;71.6;null;null;null;
1972-02-29;null;null;null;null;null;null;15;62.1;null;null;30.1;26.6;22.6;75.3;null;null;null;
1972-03-31;null;null;null;null;null;null;25;156.6;null;null;29.8;26.2;22.5;80.9;null;null;null;
1972-04-30;null;null;null;null;null;null;20;359.3;null;null;29.4;25.9;22.5;82.9;null;null;null;
1972-05-31;null;null;null;null;null;null;24;287.1;null;null;28.5;25.1;22.3;87.8;null;null;null;
1972-06-30;null;null;null;null;null;null;26;338.7;null;null;28;24.5;21.9;86.9;null;null;null;
1972-07-31;null;null;null;null;null;null;20;232;null;null;27.8;24.2;21;84.3;null;null;null;
1972-08-31;null;null;null;null;null;null;17;285.3;null;null;27.9;23.6;19.8;81.5;null;null;null;
1972-09-30;null;null;null;null;null;null;16;128;null;null;28.3;25.1;21.6;77.2;null;null;null;
1972-10-31;null;null;null;null;null;null;15;72.3;null;null;29.4;25.9;22.2;75.2;null;null;null;
1972-11-30;null;null;null;null;null;null;5;8.9;null;null;30.3;26.1;21.3;72.5;null;null;null;
1972-12-31;null;null;null;null;null;null;12;39.7;null;null;30.5;27.1;23.4;74.4;null;null;null;
1973-01-31;14;131.3;null;null;264.8;6.4;18;82.9;null;1012.2;30.2;27.1;23.5;75.7;7;2.9;38.4;
1973-02-28;14;129.1;null;null;218.2;6.5;13;108.3;null;1011.2;30.7;27.4;23.6;75.1;7;3.3;36.8;
1973-03-31;14;96.4;null;null;258.2;6.2;null;201.1;null;1010.5;30.9;27.3;23.6;79.1;6.3;2.9;37;
1973-04-30;14;71.1;null;null;170.8;7.5;null;770.4;null;1010.7;29.6;26.3;23.8;85.5;6.1;2.4;31.8;
1973-05-31;14;70.6;null;null;218.9;6.4;null;313;null;1011.9;29.5;25.7;22.7;85.7;6.5;2.2;36.7;
1973-06-30;14;51.6;null;null;153.1;7;null;501.2;null;1012.6;28.2;25;22.9;87.6;5;2.2;34.7;
1973-07-31;14;85.3;null;null;197.1;6.9;null;422.6;null;1013.7;28.2;24.6;22.1;84.9;6.6;2.8;36.2;
1973-08-31;14;145.3;null;null;282.9;5.1;null;100.7;null;1014.2;28.6;24.9;21.3;79;7.6;3.2;38.4;
1973-09-30;14;113.9;null;null;226.6;5.6;null;200.4;null;1014.3;28.2;24.8;21.3;82.3;6.3;3.2;36.4;
1973-10-31;14;153.4;null;null;285.8;4.7;null;118.6;null;1011.4;29.2;25.9;21.8;76.5;5.1;3.1;38.8;
1973-11-30;9;174.9;null;null;308;4.3;null;23.8;null;1011.4;30.5;26.5;21.8;71.9;6.7;4.1;39.9;
1973-12-31;9;173.8;null;null;283.7;5.3;null;65.6;null;1011.2;30.5;26.9;22.4;72.8;6;3.5;39.1;
1974-01-31;9;148.3;null;null;257.7;5.5;null;210.1;null;1010.2;30.2;26.4;22.5;75.9;7.1;2.9;37.6;
1974-02-28;9;110.6;null;null;209.3;5.5;null;174.5;null;1009.5;29.6;26.4;22.7;78.2;4.8;2.4;36.1;
1974-03-31;0;75.5;null;null;183.7;6.1;null;323.5;null;1009.8;29.6;26.1;23.1;84.2;6.6;2.1;34.8;
1974-04-30;18;64.5;null;null;158.4;6.1;null;285.3;null;1010.5;29.4;25.9;22.9;86.3;6.3;2;37.9;
1974-05-31;18;77.9;null;null;195.8;5.6;null;454.6;null;1012.2;28.8;25.2;22.3;85.6;5.5;2.2;35.2;
1974-06-30;14;83.4;null;null;168.9;6.5;null;299.6;null;1012.9;27.8;24.5;21.9;85.2;7.6;2.7;35.9;
1974-07-31;14;95.9;null;null;153.2;6.8;null;252.6;null;1015.4;27;23.6;21;83.2;9.6;3.9;35.9;
1974-08-31;14;117.3;null;null;240.5;5.4;null;76.1;null;1014.8;27.4;23.8;20.7;80.2;6.8;3.6;37.5;
1974-09-30;14;123.9;null;null;217.4;5.8;null;121.3;null;1014.4;27.6;24.3;21.1;78.8;7.6;3.5;37.2;
1974-10-31;9;156.6;null;null;284.3;4.1;null;14.8;null;1012.4;29.3;25.7;21.6;74.4;6.1;3.4;39.1;
1974-11-30;5;164.1;null;null;271.7;4.5;null;15.2;null;1011.1;30.3;26.2;21.5;72.7;6.6;3.8;38.7;
1974-12-31;9;145.3;null;null;268.5;5.4;null;86.3;null;1011;29.9;26.4;22.3;75.9;7.6;3.4;39.1;
1975-01-31;9;170.5;null;null;275.8;5;null;87.1;null;1011.2;30.1;26.8;23;74.1;6.6;3.4;38.9;
1975-02-28;5;148.6;null;null;231.3;5.1;null;53;null;1011;31;26.9;22.3;72.9;7;3.3;37.3;
1975-03-31;14;116.8;null;null;243.8;5.6;null;257.1;null;1011.1;30.4;26.5;22.5;79.4;6.6;2.6;36.6;
1975-04-30;9;118;null;null;236.2;5.3;null;110.6;null;1010.2;30.9;26.7;22.4;77.6;7.6;2.6;37;
1975-05-31;18;78.4;null;null;190;6.7;null;335.3;null;1011.5;28.7;24.9;22;86;6.3;2.8;35.6;
1975-06-30;14;70.8;null;null;163.4;6.5;null;408;null;1013.9;27.9;24.3;21.4;87.6;7.6;2.8;33.2;
1975-07-31;14;81.6;null;null;134.6;7.4;null;556.2;null;1014.1;26.9;23.6;21.1;87.2;8;3.5;33.3;
1975-08-31;14;128;null;null;207.4;5.8;null;171.3;null;1015.1;27.3;24;21.1;82.7;8.3;3.9;37.3;
1975-09-30;14;130.2;null;null;225.8;5.2;null;73.3;null;1014.7;27.7;24.3;21.1;81;7.5;4;37.8;
1975-10-31;5;169.7;null;null;280.2;4.4;null;17;null;1012.2;29.5;25.7;21.5;75.2;13.1;3.8;39.4;
1975-11-30;14;190.7;null;null;279.8;4.9;null;34.2;null;1011.7;29.9;26.3;21.9;73.4;6.6;3.8;39.2;
1975-12-31;14;141.6;null;null;226.2;6.2;null;134;null;1011;29.1;25.9;22.2;77.5;6.6;3.6;38;
1976-01-31;14;178.2;null;null;255.3;5.5;null;47.2;null;1010.9;29.6;26.2;21.9;73.7;6.6;3.8;38.5;
1976-02-29;14;114.2;null;null;219.8;6;null;255.4;null;1010.6;29.4;25.8;21.8;79.4;7;2.8;35.3;
1976-03-31;14;87.5;null;null;155.9;6.7;null;404.5;null;1010.4;29.1;25.5;21.9;84.1;6.5;2.7;35.1;
1976-04-30;14;94.1;null;null;204.7;5.8;null;236.9;null;1011.9;29.1;25.2;21.5;83.7;6.6;2.7;37.2;
1976-05-31;14;90.6;null;null;225.3;6;null;299.7;null;1012.9;28.5;24.7;20.9;84;6.5;2.9;37.6;
1976-06-30;14;100.4;null;null;206.1;5.9;null;293.8;null;1014.1;28;24.3;20.8;82.3;6.6;3.4;37.8;
1976-07-31;14;105.3;null;null;192.1;5.7;null;268.5;null;1016.6;27.2;23.4;20.3;82.2;8.3;3.6;34.3;
1976-08-31;14;127.7;null;null;263;4.8;null;61.1;null;1016;27.7;23.6;19.8;77.7;7.6;3.6;39.1;
1976-09-30;14;116.9;null;null;238.3;5.3;null;31.4;null;1014.5;28.5;24.6;20.8;77.6;6.6;3.6;39.4;
1976-10-31;9;106.3;null;null;209.4;5.8;null;149.2;null;1012.5;28.9;25.1;21.6;78.3;5.5;3;37.2;
1976-11-30;14;136.2;null;null;273.2;5;null;48.5;null;1011.6;29.6;25.8;21.8;74.9;5.8;3.4;39.2;
1976-12-31;14;141.1;null;null;271.1;5.2;null;129.4;null;1011.3;29.5;26.2;22.5;77;7.3;3.6;38.8;
1977-01-31;14;140.7;null;null;209.3;6.2;18;74.2;null;1011;30;26.4;23.1;77.5;6.6;3.4;36.6;
1977-02-28;14;111;null;null;212.9;6.1;23;136.5;null;1012.2;29.7;26.2;22.7;78.3;6.3;3.3;37.9;
1977-03-31;14;130.8;null;null;227;5.2;23;182.2;null;1011.4;30.3;26.8;23.2;77.5;5.3;3.1;38.2;
1977-04-30;14;81.4;null;null;199;5.9;18;223.1;null;1011.1;30.3;26.2;23.2;83.9;5.8;1.8;38.7;
1977-05-31;0;68;null;null;181.4;5.8;22;297;null;1012.6;29.3;25.3;22.4;86.1;6;2;35.9;
1977-06-30;14;57.2;null;null;114.6;7.1;27;412.5;null;1013.8;28.2;24.6;22.3;87.7;5.5;2.4;34.6;
1977-07-31;14;75.4;null;null;108.6;7.5;31;523.8;null;1014.8;27.1;23.9;21.6;85.8;8.3;3.2;29.5;
1977-08-31;14;101.8;null;null;206.1;5.5;20;133.5;null;1014.8;27.9;24.2;20.8;80.4;8;3;37.1;
1977-09-30;9;121.3;null;null;221.8;5.4;18;95.3;null;1014.8;28.3;25;22.1;77.9;6.8;3.6;38.2;
1977-10-31;14;135.4;null;null;222.4;5.6;19;109.4;null;1013.8;28.7;25.5;22.2;76.3;5.8;3;38.5;
1977-11-30;9;126.8;null;null;278.3;4.7;10;20.4;null;1012.1;29.9;26.3;22.6;74;5.8;3.6;39.4;
1977-12-31;5;167.4;null;null;238.4;5.7;9;52.5;null;1011.6;30.5;26.9;23.3;72.6;7;3.5;38.8;
1978-01-31;14;180.3;null;null;280.4;4.9;10;36;null;1012.7;30.3;26.9;23.1;72.1;5.1;3.5;39.5;
1978-02-28;9;122.4;null;null;145.8;6.8;18;232.7;null;1011.9;29.8;26.4;23.4;79.9;5.8;2.5;35.2;
1978-03-31;14;98.6;null;null;157.3;6.4;20;283.7;null;1012.1;29.4;25.9;23;82.1;5.5;2.4;36.1;
1978-04-30;18;84;null;null;189.3;6.3;20;446.5;null;1011.3;29.6;25.9;23;83.5;5.3;2.4;37.2;
1978-05-31;14;79.2;null;null;194.6;5.8;24;260.9;null;1011.8;29;25.5;22.7;85;5.8;2;35.7;
1978-06-30;18;82.4;null;null;171.5;6.5;24;300.7;null;1014.7;27.8;24.4;21.6;84.1;6.6;3.4;36;
1978-07-31;18;71.8;null;null;140.2;6.8;26;505.6;null;1013.9;27.5;24.1;21.6;87.5;6.6;2.6;35.1;
1978-08-31;18;100.7;null;null;184.4;6.2;25;210.6;null;1015.9;27.5;24;21.1;82.4;7.3;3.3;36.9;
1978-09-30;14;113.7;null;null;156.1;6.3;25;291.3;null;1015.2;27.6;24.2;21.5;81.5;7.3;3.4;36;
1978-10-31;14;139.4;null;null;232.1;5.2;21;46.6;null;1013.4;28.7;25.3;21.8;76.1;7.6;3.5;39.7;
1978-11-30;14;158.1;null;null;256.3;5.2;16;60.2;null;1012.8;29.1;25.7;22.4;74.7;6.6;3.4;38.9;
1978-12-31;14;131.6;null;null;225.6;6;null;69.2;null;1012.2;29.5;26;22;75.4;6;3.1;38.9;
1979-01-31;14;null;null;null;null;5.6;15;78.9;null;1003.3;30.2;26.8;23.4;74.5;7.5;3.4;null;
1979-02-28;14;null;null;null;170.8;6;14;136.7;null;1003.9;30.1;26.5;22.8;77.5;5;2.7;null;
1979-03-31;14;null;null;null;187.1;6.6;16;145.3;null;1004;30;26.4;22.7;79.3;5.8;3;null;
