Nome: SALVADOR (ONDINA)
Codigo Estacao: 83229
Latitude: -13.00583333
Longitude: -38.50583333
Altitude: 47.35
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2024-11-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;79.2;null;null;216.3;5.7;13;192.1;null;1007.2;29.3;26.1;24;83.4;7;1.2;64.8;
1970-02-28;14;91.7;null;null;233;5.6;16;164.5;null;1007.6;30.2;26.6;24;80.1;6;1.4;67.7;
1970-03-31;14;96.7;null;null;256.9;5.7;21;73;null;1007.6;30.1;26.6;23.9;78.1;8;1.3;67.3;
1970-04-30;0;78.3;null;null;184.3;5.7;16;205.1;null;1008;29.2;25.7;23;80.9;3;.8;66;
1970-05-31;14;63.2;null;null;212.6;5.5;20;244.6;null;1009.4;28.3;25;22.4;80.4;9;1;65.6;
1970-06-30;0;62.6;null;null;185.9;5.5;23;242;null;1011.2;26.9;24.1;21.9;81.8;12;1.1;64.7;
1970-07-31;14;53.9;null;null;188.3;6.6;26;238.1;null;1012.9;25.9;23.2;21.2;82.3;7;2.3;59.4;
1970-08-31;14;63.5;null;null;171.7;6.6;24;139.4;null;1011.7;25.9;23.1;20.8;81.3;14;2.8;64.4;
1970-09-30;14;67.4;null;null;252.4;4.5;9;69.4;null;1010.2;28;24.5;22;77.6;5;1.8;67.2;
1970-10-31;0;52.1;null;null;233.7;4.7;11;102.3;null;1007;28.8;25.4;22.9;81.2;6;1.3;65.3;
1970-11-30;5;60.2;null;null;221.2;5.8;14;221.2;null;1005.5;29.3;25.6;22.9;81.8;5;1.5;64.7;
1970-12-31;14;76.6;null;null;279.8;3.8;10;24.2;null;1006;30.4;26.3;23.4;78.7;3;1;68.9;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
